open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-05 01:00:00,108196.0,108196.01,107894.61,107981.13,148.43092,2025-07-05 01:59:59.999999,16028242.9893097,34627,71.33065,7702361.5578473
2025-07-05 02:00:00,107981.14,108095.59,107756.31,108067.87,246.24667,2025-07-05 02:59:59.999999,26572195.9622264,40856,134.73434,14542806.4199761
2025-07-05 03:00:00,108067.88,108259.99,108067.87,108154.72,189.1976,2025-07-05 03:59:59.999999,20465949.9594914,35241,120.71354,13057339.6910555
2025-07-05 04:00:00,108154.72,108420.56,108032.0,108137.66,171.53463,2025-07-05 04:59:59.999999,18559635.5718631,37789,94.79075,10257484.8920002
2025-07-05 05:00:00,108137.65,108166.31,108000.0,108125.63,147.7334,2025-07-05 05:59:59.999999,15968444.2162491,32254,52.7671,5703118.6956266
2025-07-05 06:00:00,108125.63,108287.48,108059.71,108270.82,183.20807,2025-07-05 06:59:59.999999,19820218.267809,35020,57.76089,6249663.0414631
2025-07-05 07:00:00,108270.82,108270.82,108000.99,108053.46,157.65432,2025-07-05 07:59:59.999999,17043127.5526993,27942,36.29429,3923505.0594328
2025-07-05 08:00:00,108053.46,108125.37,107922.8,108029.97,140.43625,2025-07-05 08:59:59.999999,15170840.8745301,30465,51.84522,5600921.7874264
2025-07-05 09:00:00,108029.96,108123.62,107870.42,108078.06,184.41899,2025-07-05 09:59:59.999999,19913508.7615733,37185,56.40599,6091148.9945575
2025-07-05 10:00:00,108078.07,108216.22,108053.3,108085.23,189.72643,2025-07-05 10:59:59.999999,20516955.7256883,26010,82.07897,8875769.4749905
2025-07-05 11:00:00,108085.24,108219.19,108085.23,108112.21,160.79807,2025-07-05 11:59:59.999999,17392330.0295133,21330,70.12241,7585051.3486339
2025-07-05 12:00:00,108112.2,108152.95,107971.0,108148.57,94.22384,2025-07-05 12:59:59.999999,10180573.4862304,31698,35.8104,3868985.8765222
2025-07-05 13:00:00,108148.56,108232.29,108100.44,108125.99,170.43426,2025-07-05 13:59:59.999999,18433339.6438428,34193,59.15807,6398501.2867901
2025-07-05 14:00:00,108126.0,108223.22,108103.84,108193.23,140.40955,2025-07-05 14:59:59.999999,15188983.0806147,28312,96.51013,10440159.8363611
2025-07-05 15:00:00,108193.23,108193.24,108047.42,108058.0,159.40315,2025-07-05 15:59:59.999999,17233453.5849447,21419,96.12047,10391273.2951873
